Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error,BAR_dF,BAR_Error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09,2.1778899641128806,0.0062757462297043055,2.187538222229829,0.0005071411750734878,2.186837660390694,0.0006405321899315115
0.0,0.18,4.274861335406342,0.011095599361792215,4.295322808778771,0.0009626353528918933,4.293568095019577,0.0006405321899315115
0.0,0.3,6.913853688285647,0.01661570446240489,6.940019611303349,0.0015301781730093944,6.9378292346903585,0.0
0.0,0.42,9.276689430865154,0.022261349624849464,9.300332591494376,0.0020575687345867257,9.297705921210582,0.0006698356997569404
0.0,0.495,10.512795204067558,0.025450563148691218,10.542206815056279,0.0023570459154796087,10.538338997531493,0.0006698356997569404
0.0,0.57,11.439357889941608,0.028298990695762073,11.487261382668315,0.0026479573772995356,11.482055579023847,0.0
0.0,0.625,11.817068896994444,0.030579066241536466,11.876143313766455,0.002871839804356476,11.870585760750393,0.0009683643666042429
0.0,0.68,11.748385814375377,0.03300558404399147,11.834342300085975,0.0031198858403796016,11.82875842515791,0.0009683643666042429
0.0,0.72,11.275015149418785,0.034988603581789596,11.3787024963545,0.0033240217734949442,11.372560309883996,0.0
0.0,0.76,10.29076611615899,0.03703927798497665,10.404063607645833,0.003562495778695943,10.39735938056902,0.0011233260940425125
0.0,0.81,8.377667432248508,0.03998677688968478,8.437355776044337,0.0038918888665528794,8.431253701684929,0.0011233260940425125
0.0,0.86,6.282813994726681,0.04217190518991952,6.278870721031716,0.0041128675823104135,6.27257098489574,0.0
0.0,0.93,4.212024790208494,0.04357984624540038,4.164356575722106,0.004253192440307509,4.1579059170916395,0.0008086523337630652
0.0,1.0,3.5159900988973183,0.044015350479230164,3.4824422101206043,0.004323313552897816,3.4767437811537305,0.0008086523337630652
0.09,0.0,-2.1778899641128806,0.0062757462297043055,-2.187538222229829,0.0005071411750734895,-2.186837660390694,0.0
0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0009322880038871565
0.09,0.18,2.0969713712934617,0.006592958413470625,2.1077845865489415,0.0005218584830794401,2.1067304346288824,0.0009322880038871565
0.09,0.3,4.735963724172766,0.014015577413233143,4.75248138907352,0.0012123730394877385,4.750991574299665,0.0
0.09,0.42,7.098799466752274,0.020394177173010307,7.112794369264547,0.0018272055219947089,7.110868260819888,0.0007882111922416387
0.09,0.495,8.334905239954677,0.023834553489206985,8.35466859282645,0.0021591461372778946,8.3515013371408,0.0007882111922416387
0.09,0.57,9.261467925828729,0.026854937159546243,9.299723160438486,0.0024735066537917238,9.295217918633153,0.0
0.09,0.625,9.639178932881563,0.02924780449279269,9.688605091536626,0.0027118269284372555,9.683748100359699,0.0009311693968894264
0.09,0.68,9.570495850262496,0.03177614440943605,9.646804077856146,0.002973251016083668,9.641920764767217,0.0009311693968894264
0.09,0.72,9.097125185305904,0.03383130437993736,9.19116427412467,0.0031867938438553496,9.185722649493302,0.0
0.09,0.76,8.112876152046109,0.03594805821032237,8.216525385416004,0.0034348086669207696,8.210521720178326,0.0007978017137750537
0.09,0.81,6.199777468135628,0.03897816185339912,6.249817553814507,0.0037753587025059604,6.244416041294234,0.0007978017137750537
0.09,0.86,4.1049240306138,0.04121679709526094,4.091332498801886,0.00400277580342145,4.0857333245050445,0.0
0.09,0.93,2.034134826095613,0.042656274734405565,1.976818353492277,0.00414682774149815,1.9710682567009443,0.0009257061534611185
0.09,1.0,1.338100134784437,0.04310111197235886,1.294903987890775,0.004218717158097862,1.2899061207630353,0.0009257061534611185
0.18,0.0,-4.274861335406342,0.011095599361792215,-4.295322808778771,0.000962635352891896,-4.293568095019577,0.0
0.18,0.09,-2.0969713712934617,0.006592958413470625,-2.1077845865489415,0.0005218584830794417,-2.1067304346288824,0.0012095520792549162
0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0012095520792549162
0.18,0.3,2.638992352879304,0.00952561562111553,2.644696802524578,0.0007915775837172873,2.644261139670782,0.0
0.18,0.42,5.001828095458812,0.017613160003220427,5.0050097827156055,0.0015275965242001865,5.0041378261910054,0.0008851452109297621
0.18,0.495,6.237933868661216,0.021503183084482583,6.246884006277508,0.0019105289314512424,6.244770902511917,0.0008851452109297621
0.18,0.57,7.1644965545352655,0.024809042556658386,7.191938573889544,0.0022600132934147417,7.18848748400427,0.0
0.18,0.625,7.542207561588102,0.027381289421492434,7.580820504987685,0.0025186542964385503,7.577017665730816,0.0007009040074891122
0.18,0.68,7.4735244789690345,0.030066996794895273,7.539019491307204,0.0027981811843318795,7.535190330138334,0.0007009040074891122
0.18,0.72,7.000153814012442,0.032231321703940066,7.083379687575729,0.003024110924198382,7.078992214864419,0.0
0.18,0.76,6.015904780752647,0.03444653584654972,6.108740798867062,0.0032844334184474223,6.103791285549443,0.0004040110761645604
0.18,0.81,4.102806096842167,0.0375978462708263,4.142032967265566,0.0036390830867609526,4.137685606665351,0.0004040110761645604
0.18,0.86,2.0079526593203383,0.03991397381277414,1.983547912252945,0.00387450725827865,1.979002889876162,0.0
0.18,0.93,-0.06283654519784809,0.041398776756711005,-0.13096623305666455,0.004023154568297048,-0.1356621779279381,
0.18,1.0,-0.7588712365090244,0.041856980254059484,-0.8128805986581664,0.004097214520040337,-0.8168243138658472,
0.3,0.0,-6.913853688285647,0.01661570446240489,-6.940019611303349,0.001530178173009397,-6.9378292346903585,
0.3,0.09,-4.735963724172766,0.014015577413233143,-4.75248138907352,0.0012123730394877406,-4.750991574299665,
0.3,0.18,-2.638992352879304,0.00952561562111553,-2.644696802524578,0.0007915775837172894,-2.644261139670782,
0.3,0.3,0.0,0.0,0.0,0.0,0.0,
0.3,0.42,2.3628357425795086,0.010999422192996025,2.3603129801910274,0.0009099142851032788,2.3598766865202236,
0.3,0.495,3.598941515781912,0.016527273400216612,3.60218720375293,0.0014143349250574548,3.600509762841135,
0.3,0.57,4.525504201655962,0.020645882782259917,4.547241771364966,0.0018559046558393733,4.544226344333488,
0.3,0.625,4.903215208708797,0.02367485783831158,4.936123702463107,0.0021638994510244777,4.932756526060034,
0.3,0.68,4.83453212608973,0.026735522802910968,4.894322688782626,0.0024837592853092227,4.890929190467552,
0.3,0.72,4.361161461133138,0.029148275799155042,4.438682885051151,0.002735771249808856,4.434731075193637,
0.3,0.76,3.376912427873344,0.031580495802130217,3.4640439963424843,0.0030210416133580977,3.459530145878661,
0.3,0.81,1.4638137439628631,0.03499088349106688,1.4973361647409877,0.0034032509708020534,1.4934244669945693,
0.3,0.86,-0.6310396935589653,0.037468509295240836,-0.6611488902716331,0.0036539017317807764,-0.6652582497946198,
0.3,0.93,-2.701828898077152,0.039046415971670495,-2.7756630355812426,0.0038111630796702793,-2.77992331759872,
0.3,1.0,-3.3978635893883284,0.03953189445586253,-3.4575774011827445,0.003889261905015954,-3.461085453536629,
0.42,0.0,-9.276689430865154,0.022261349624849464,-9.300332591494376,0.0020575687345867288,-9.297705921210582,
0.42,0.09,-7.098799466752274,0.020394177173010307,-7.112794369264547,0.0018272055219947115,-7.110868260819888,
0.42,0.18,-5.001828095458812,0.017613160003220427,-5.0050097827156055,0.001527596524200189,-5.0041378261910054,
0.42,0.3,-2.3628357425795086,0.010999422192996025,-2.3603129801910274,0.0009099142851032815,-2.3598766865202236,
0.42,0.42,0.0,0.0,0.0,0.0,0.0,
0.42,0.495,1.2361057732024032,0.00790513087113591,1.2418742235619025,0.0006447651310510786,1.2406330763209112,
0.42,0.57,2.1626684590764533,0.014683078829152112,2.186928791173939,0.0012632141151660405,2.184349657813264,
0.42,0.625,2.540379466129289,0.018703989459699276,2.575810722272079,0.001676326810231623,2.5728798395398096,
0.42,0.68,2.4716963835102215,0.02245280622971772,2.534009708591599,0.0020734685024169585,2.5310525039473277,
0.42,0.72,1.9983257185536298,0.025277703813991612,2.078369904860123,0.0023696478939902493,2.074854388673413,
0.42,0.76,1.0140766852938354,0.028047603162349586,1.1037310161514569,0.002693960085764236,1.099653459358437,
0.42,0.81,-0.8990219986166452,0.0318386911717441,-0.8629768154500397,0.003116542286738882,-0.8664522195256545,
0.42,0.86,-2.9938754361384743,0.034543154413744954,-3.0214618704626606,0.003388468513029155,-3.0251349363148434,
0.42,0.93,-5.064664640656661,0.036248626570906155,-5.13597601577227,0.0035574829456985367,-5.1398000041189436,
0.42,1.0,-5.760699331967837,0.03677106209118433,-5.817890381373772,0.0036410271896648236,-5.820962140056853,
0.495,0.0,-10.512795204067558,0.025450563148691218,-10.542206815056279,0.0023570459154796117,-10.538338997531493,
0.495,0.09,-8.334905239954677,0.023834553489206985,-8.35466859282645,0.0021591461372778976,-8.3515013371408,
0.495,0.18,-6.237933868661216,0.021503183084482583,-6.246884006277508,0.0019105289314512457,-6.244770902511917,
0.495,0.3,-3.598941515781912,0.016527273400216612,-3.60218720375293,0.0014143349250574585,-3.600509762841135,
0.495,0.42,-1.2361057732024032,0.00790513087113591,-1.2418742235619025,0.0006447651310510832,-1.2406330763209112,
0.495,0.495,0.0,0.0,0.0,0.0,0.0,
0.495,0.57,0.9265626858740502,0.009174135449387291,0.9450545676120363,0.0007285778642249036,0.9437165814923528,
0.495,0.625,1.3042736929268859,0.014778740780227227,1.3339364987101767,0.0012522038916912535,1.3322467632188986,
0.495,0.68,1.2355906103078185,0.019305451689350873,1.2921354850296964,0.0017417723393078084,1.2904194276264165,
0.495,0.72,0.7622199453512266,0.022528521199770207,0.8364956812982207,0.0020861979477974175,0.8342213123525022,
0.495,0.76,-0.2220290879085679,0.02559765615233653,-0.1381432074104456,0.002448446622603705,-0.14097961696247385,
0.495,0.81,-2.135127771819049,0.029703101064877134,-2.104851039011942,0.0029069223603626774,-2.1070852958465656,
0.495,0.86,-4.229981209340877,0.0325852953675801,-4.263336094024563,0.0031967303367787464,-4.265768012635755,
0.495,0.93,-6.3007704138590634,0.03438800496710463,-6.3778502393341725,0.003375359654605834,-6.380433080439854,
0.495,1.0,-6.996805105170239,0.03493827363586161,-7.059764604935674,0.0034632999757060455,-7.061595216377763,
0.57,0.0,-11.439357889941608,0.028298990695762073,-11.487261382668315,0.002647957377299539,-11.482055579023847,
0.57,0.09,-9.261467925828729,0.026854937159546243,-9.299723160438486,0.002473506653791727,-9.295217918633153,
0.57,0.18,-7.1644965545352655,0.024809042556658386,-7.191938573889544,0.002260013293414745,-7.18848748400427,
0.57,0.3,-4.525504201655962,0.020645882782259917,-4.547241771364966,0.001855904655839377,-4.544226344333488,
0.57,0.42,-2.1626684590764533,0.014683078829152112,-2.186928791173939,0.0012632141151660446,-2.184349657813264,
0.57,0.495,-0.9265626858740502,0.009174135449387291,-0.9450545676120363,0.0007285778642249074,-0.9437165814923528,
0.57,0.57,0.0,0.0,0.0,0.0,0.0,
0.57,0.625,0.3777110070528358,0.007833168596789114,0.3888819310981404,0.0006314187345797799,0.3885301817265458,
0.57,0.68,0.3090279244337683,0.014684952030784178,0.3470809174176601,0.0012721616418263336,0.34670284613406377,
0.57,0.72,-0.1643427405228236,0.01872115430909824,-0.1085588863138156,0.0017078265509010363,-0.10949526913985058,
0.57,0.76,-1.1485917737826181,0.02232011092512365,-1.083197775022482,0.0021360352036318675,-1.0846961984548267,
0.57,0.81,-3.0616904576930986,0.026929938063183084,-3.0499056066239785,0.0026491930773521683,-3.0508018773389183,
0.57,0.86,-5.156543895214927,0.030079042960323866,-5.208390661636599,0.0029642898139148593,-5.209484594128107,
0.57,0.93,-7.227333099733114,0.03202315157560519,-7.322904806946209,0.003156103554604952,-7.324149661932207,
0.57,1.0,-7.92336779104429,0.0326133456712266,-8.00481917254771,0.0032499824545433225,-8.005311797870116,
0.625,0.0,-11.817068896994444,0.030579066241536466,-11.876143313766455,0.0028718398043564796,-11.870585760750393,
0.625,0.09,-9.639178932881563,0.02924780449279269,-9.688605091536626,0.002711826928437259,-9.683748100359699,
0.625,0.18,-7.542207561588102,0.027381289421492434,-7.580820504987685,0.0025186542964385538,-7.577017665730816,
0.625,0.3,-4.903215208708797,0.02367485783831158,-4.936123702463107,0.0021638994510244816,-4.932756526060034,
0.625,0.42,-2.540379466129289,0.018703989459699276,-2.575810722272079,0.0016763268102316274,-2.5728798395398096,
0.625,0.495,-1.3042736929268859,0.014778740780227227,-1.3339364987101767,0.0012522038916912576,-1.3322467632188986,
0.625,0.57,-0.3777110070528358,0.007833168596789114,-0.3888819310981404,0.000631418734579784,-0.3885301817265458,
0.625,0.625,0.0,0.0,0.0,0.0,0.0,
0.625,0.68,-0.06868308261906747,0.009220810315714863,-0.04180101368048028,0.0007516115334729141,-0.041827335592482015,
0.625,0.72,-0.5420537475756594,0.014827580564509802,-0.497440817411956,0.0013003857166966515,-0.4980254508663964,
0.625,0.76,-1.5263027808354537,0.019171929439724768,-1.4720797061206223,0.001822400093413956,-1.4732263801813725,
0.625,0.81,-3.4394014647459348,0.024384361603676203,-3.438787537722119,0.0024044429841566695,-3.439332059065464,
0.625,0.86,-5.534254902267763,0.02782309026943215,-5.59727259273474,0.0027477106897581547,-5.598014775854653,
0.625,0.93,-7.60504410678595,0.029914173289030507,-7.711786738044349,0.002953609967237448,-7.712679843658753,
0.625,1.0,-8.301078798097127,0.030545144337568223,-8.393701103645851,0.0030537216917458014,-8.393841979596662,
0.68,0.0,-11.748385814375377,0.03300558404399147,-11.834342300085975,0.0031198858403796046,-11.82875842515791,
0.68,0.09,-9.570495850262496,0.03177614440943605,-9.646804077856146,0.002973251016083671,-9.641920764767217,
0.68,0.18,-7.4735244789690345,0.030066996794895273,-7.539019491307204,0.002798181184331883,-7.535190330138334,
0.68,0.3,-4.83453212608973,0.026735522802910968,-4.894322688782626,0.002483759285309226,-4.890929190467552,
0.68,0.42,-2.4716963835102215,0.02245280622971772,-2.534009708591599,0.002073468502416963,-2.5310525039473277,
0.68,0.495,-1.2355906103078185,0.019305451689350873,-1.2921354850296964,0.0017417723393078125,-1.2904194276264165,
0.68,0.57,-0.3090279244337683,0.014684952030784178,-0.3470809174176601,0.0012721616418263375,-0.34670284613406377,
0.68,0.625,0.06868308261906747,0.009220810315714863,0.04180101368048028,0.0007516115334729174,0.041827335592482015,
0.68,0.68,0.0,0.0,0.0,0.0,0.0,
0.68,0.72,-0.4733706649565919,0.007844661680341583,-0.4556398037314757,0.0006659179461475646,-0.45619811527391435,
0.68,0.76,-1.4576196982163863,0.01446528430151914,-1.430278692440142,0.0013518302872853878,-1.4313990445888904,
0.68,0.81,-3.370718382126867,0.020887284703877358,-3.3969865240416386,0.00206859857073367,-3.397504723472982,
0.68,0.86,-5.465571819648696,0.024815437203945467,-5.5554715790542595,0.002460086260460275,-5.556187440262171,
0.68,0.93,-7.536361024166883,0.02713925818898035,-7.669985724363869,0.002688048868709536,-7.670852508066272,
0.68,1.0,-8.23239571547806,0.027833207039162176,-8.35190008996537,0.002797658963768611,-8.35201464400418,
0.72,0.0,-11.275015149418785,0.034988603581789596,-11.3787024963545,0.0033240217734949473,-11.372560309883996,
0.72,0.09,-9.097125185305904,0.03383130437993736,-9.19116427412467,0.003186793843855352,-9.185722649493302,
0.72,0.18,-7.000153814012442,0.032231321703940066,-7.083379687575729,0.0030241109241983845,-7.078992214864419,
0.72,0.3,-4.361161461133138,0.029148275799155042,-4.438682885051151,0.002735771249808859,-4.434731075193637,
0.72,0.42,-1.9983257185536298,0.025277703813991612,-2.078369904860123,0.002369647893990253,-2.074854388673413,
0.72,0.495,-0.7622199453512266,0.022528521199770207,-0.8364956812982207,0.0020861979477974214,-0.8342213123525022,
0.72,0.57,0.1643427405228236,0.01872115430909824,0.1085588863138156,0.00170782655090104,0.10949526913985058,
0.72,0.625,0.5420537475756594,0.014827580564509802,0.497440817411956,0.001300385716696655,0.4980254508663964,
0.72,0.68,0.4733706649565919,0.007844661680341583,0.4556398037314757,0.0006659179461475679,0.45619811527391435,
0.72,0.72,0.0,0.0,0.0,0.0,0.0,
0.72,0.76,-0.9842490332597944,0.008828013146542558,-0.9746388887086663,0.0008066340906586299,-0.975200929314976,
0.72,0.81,-2.897347717170275,0.017463333830989466,-2.941346720310163,0.0016924129988013798,-2.9413066081990675,
0.72,0.86,-4.992201154692103,0.022011253708380925,-5.099831775322784,0.002154129737036875,-5.099989324988257,
0.72,0.93,-7.06299035921029,0.024601396327035775,-7.214345920632393,0.0024119691588200313,-7.214654392792356,
0.72,1.0,-7.759025050521466,0.02536487295999369,-7.896260286233895,0.0025335402628871013,-7.895816528730266,
0.76,0.0,-10.29076611615899,0.03703927798497665,-10.404063607645833,0.003562495778695945,-10.39735938056902,
0.76,0.09,-8.112876152046109,0.03594805821032237,-8.216525385416004,0.003434808666920772,-8.210521720178326,
0.76,0.18,-6.015904780752647,0.03444653584654972,-6.108740798867062,0.0032844334184474254,-6.103791285549443,
0.76,0.3,-3.376912427873344,0.031580495802130217,-3.4640439963424843,0.0030210416133581003,-3.459530145878661,
0.76,0.42,-1.0140766852938354,0.028047603162349586,-1.1037310161514569,0.002693960085764239,-1.099653459358437,
0.76,0.495,0.2220290879085679,0.02559765615233653,0.1381432074104456,0.002448446622603708,0.14097961696247385,
0.76,0.57,1.1485917737826181,0.02232011092512365,1.083197775022482,0.002136035203631871,1.0846961984548267,
0.76,0.625,1.5263027808354537,0.019171929439724768,1.4720797061206223,0.0018224000934139596,1.4732263801813725,
0.76,0.68,1.4576196982163863,0.01446528430151914,1.430278692440142,0.001351830287285391,1.4313990445888904,
0.76,0.72,0.9842490332597944,0.008828013146542558,0.9746388887086663,0.0008066340906586327,0.975200929314976,
0.76,0.76,0.0,0.0,0.0,0.0,0.0,
0.76,0.81,-1.9130986839104807,0.010927697298597173,-1.9667078316014965,0.0010534793355840494,-1.9661056788840916,
0.76,0.86,-4.007952121432309,0.017289934342613902,-4.125192886614117,0.0016410523651732684,-4.1247883956732805,
0.76,0.93,-6.078741325950496,0.020485976691314377,-6.239707031923727,0.0019664512530276072,-6.23945346347738,
0.76,1.0,-6.774776017261672,0.021396806304535398,-6.921621397525229,0.0021147398636728347,-6.92061559941529,
0.81,0.0,-8.377667432248508,0.03998677688968478,-8.437355776044337,0.003891888866552882,-8.431253701684929,
0.81,0.09,-6.199777468135628,0.03897816185339912,-6.249817553814507,0.0037753587025059635,-6.244416041294234,
0.81,0.18,-4.102806096842167,0.0375978462708263,-4.142032967265566,0.0036390830867609556,-4.137685606665351,
0.81,0.3,-1.4638137439628631,0.03499088349106688,-1.4973361647409877,0.0034032509708020564,-1.4934244669945693,
0.81,0.42,0.8990219986166452,0.0318386911717441,0.8629768154500397,0.0031165422867388847,0.8664522195256545,
0.81,0.495,2.135127771819049,0.029703101064877134,2.104851039011942,0.0029069223603626804,2.1070852958465656,
0.81,0.57,3.0616904576930986,0.026929938063183084,3.0499056066239785,0.0026491930773521713,3.0508018773389183,
0.81,0.625,3.4394014647459348,0.024384361603676203,3.438787537722119,0.002404442984156673,3.439332059065464,
0.81,0.68,3.370718382126867,0.020887284703877358,3.3969865240416386,0.0020685985707336726,3.397504723472982,
0.81,0.72,2.897347717170275,0.017463333830989466,2.941346720310163,0.0016924129988013822,2.9413066081990675,
0.81,0.76,1.9130986839104807,0.010927697298597173,1.9667078316014965,0.0010534793355840505,1.9661056788840916,
0.81,0.81,0.0,0.0,0.0,0.0,0.0,
0.81,0.86,-2.0948534375218286,0.008673100943820641,-2.158485055012621,0.0007275612651549368,-2.158682716789189,
0.81,0.93,-4.165642642040015,0.013998431748123742,-4.27299920032223,0.001193967871234734,-4.273347784593289,
0.81,1.0,-4.8616773333511905,0.01530046307938451,-4.954913565923732,0.0014156304488242215,-4.954509920531199,
0.86,0.0,-6.282813994726681,0.04217190518991952,-6.278870721031716,0.004112867582310416,-6.27257098489574,
0.86,0.09,-4.1049240306138,0.04121679709526094,-4.091332498801886,0.004002775803421453,-4.0857333245050445,
0.86,0.18,-2.0079526593203383,0.03991397381277414,-1.983547912252945,0.0038745072582786525,-1.979002889876162,
0.86,0.3,0.6310396935589653,0.037468509295240836,0.6611488902716331,0.003653901731780779,0.6652582497946198,
0.86,0.42,2.9938754361384743,0.034543154413744954,3.0214618704626606,0.0033884685130291577,3.0251349363148434,
0.86,0.495,4.229981209340877,0.0325852953675801,4.263336094024563,0.0031967303367787495,4.265768012635755,
0.86,0.57,5.156543895214927,0.030079042960323866,5.208390661636599,0.0029642898139148628,5.209484594128107,
0.86,0.625,5.534254902267763,0.02782309026943215,5.59727259273474,0.002747710689758158,5.598014775854653,
0.86,0.68,5.465571819648696,0.024815437203945467,5.5554715790542595,0.0024600862604602786,5.556187440262171,
0.86,0.72,4.992201154692103,0.022011253708380925,5.099831775322784,0.0021541297370368776,5.099989324988257,
0.86,0.76,4.007952121432309,0.017289934342613902,4.125192886614117,0.0016410523651732701,4.1247883956732805,
0.86,0.81,2.0948534375218286,0.008673100943820641,2.158485055012621,0.0007275612651549385,2.158682716789189,
0.86,0.86,0.0,0.0,0.0,0.0,0.0,
0.86,0.93,-2.0707892045181864,0.007492417590671907,-2.1145141453096095,0.0005531936939568117,-2.1146650678041,
0.86,1.0,-2.7668238958293623,0.009710015468048422,-2.7964285109111113,0.0008517761005141593,-2.795827203742009,
0.93,0.0,-4.212024790208494,0.04357984624540038,-4.164356575722106,0.004253192440307511,-4.1579059170916395,
0.93,0.09,-2.034134826095613,0.042656274734405565,-1.976818353492277,0.0041468277414981524,-1.9710682567009443,
0.93,0.18,0.06283654519784809,0.041398776756711005,0.13096623305666455,0.004023154568297049,0.1356621779279381,
0.93,0.3,2.701828898077152,0.039046415971670495,2.7756630355812426,0.0038111630796702823,2.77992331759872,
0.93,0.42,5.064664640656661,0.036248626570906155,5.13597601577227,0.0035574829456985393,5.1398000041189436,
0.93,0.495,6.3007704138590634,0.03438800496710463,6.3778502393341725,0.003375359654605837,6.380433080439854,
0.93,0.57,7.227333099733114,0.03202315157560519,7.322904806946209,0.0031561035546049552,7.324149661932207,
0.93,0.625,7.60504410678595,0.029914173289030507,7.711786738044349,0.0029536099672374514,7.712679843658753,
0.93,0.68,7.536361024166883,0.02713925818898035,7.669985724363869,0.00268804886870954,7.670852508066272,
0.93,0.72,7.06299035921029,0.024601396327035775,7.214345920632393,0.0024119691588200343,7.214654392792356,
0.93,0.76,6.078741325950496,0.020485976691314377,6.239707031923727,0.001966451253027609,6.23945346347738,
0.93,0.81,4.165642642040015,0.013998431748123742,4.27299920032223,0.0011939678712347352,4.273347784593289,
0.93,0.86,2.0707892045181864,0.007492417590671907,2.1145141453096095,0.0005531936939568117,2.1146650678041,
0.93,0.93,0.0,0.0,0.0,0.0,0.0,
0.93,1.0,-0.6960346913111761,0.004038732775480869,-0.6819143656015019,0.00034498252807313337,-0.6811621359379091,
1.0,0.0,-3.5159900988973183,0.044015350479230164,-3.4824422101206043,0.004323313552897818,-3.4767437811537305,
1.0,0.09,-1.338100134784437,0.04310111197235886,-1.294903987890775,0.004218717158097864,-1.2899061207630353,
1.0,0.18,0.7588712365090244,0.041856980254059484,0.8128805986581664,0.00409721452004034,0.8168243138658472,
1.0,0.3,3.3978635893883284,0.03953189445586253,3.4575774011827445,0.0038892619050159565,3.461085453536629,
1.0,0.42,5.760699331967837,0.03677106209118433,5.817890381373772,0.003641027189664826,5.820962140056853,
1.0,0.495,6.996805105170239,0.03493827363586161,7.059764604935674,0.003463299975706049,7.061595216377763,
1.0,0.57,7.92336779104429,0.0326133456712266,8.00481917254771,0.0032499824545433255,8.005311797870116,
1.0,0.625,8.301078798097127,0.030545144337568223,8.393701103645851,0.003053721691745805,8.393841979596662,
1.0,0.68,8.23239571547806,0.027833207039162176,8.35190008996537,0.002797658963768615,8.35201464400418,
1.0,0.72,7.759025050521466,0.02536487295999369,7.896260286233895,0.002533540262887105,7.895816528730266,
1.0,0.76,6.774776017261672,0.021396806304535398,6.921621397525229,0.0021147398636728364,6.92061559941529,
1.0,0.81,4.8616773333511905,0.01530046307938451,4.954913565923732,0.0014156304488242221,4.954509920531199,
1.0,0.86,2.7668238958293623,0.009710015468048422,2.7964285109111113,0.0008517761005141593,2.795827203742009,
1.0,0.93,0.6960346913111761,0.004038732775480869,0.6819143656015019,0.00034498252807313337,0.6811621359379091,
1.0,1.0,0.0,0.0,0.0,0.0,0.0,
